title,datetime,link,Negative,Neutral,Positive,Compound
Are “Giant Sponge Cake” Franchises Ripping Off Customers?,2017-01-13 00:00:00,https://news.google.com/./articles/CBMiVGh0dHA6Ly9rb3JlYWJpendpcmUuY29tL2FyZS1naWFudC1zcG9uZ2UtY2FrZS1mcmFuY2hpc2VzLXJpcHBpbmctb2ZmLWN1c3RvbWVycy83Mzk5ONIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Department Stores Struggle to Attract VIP Customers | Be Korea-savvy,2017-01-19 00:00:00,https://news.google.com/./articles/CBMiUWh0dHA6Ly9rb3JlYWJpendpcmUuY29tL2RlcGFydG1lbnQtc3RvcmVzLXN0cnVnZ2xlLXRvLWF0dHJhY3QtdmlwLWN1c3RvbWVycy83NDMzNdIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.226,0.314,0.459,0.5719
"Koreans Change Perspective on Divorce, Living Together Before ...",2017-02-17 00:00:00,https://news.google.com/./articles/CBMiY2h0dHA6Ly9rb3JlYWJpendpcmUuY29tL2tvcmVhbnMtY2hhbmdlLXBlcnNwZWN0aXZlLW9uLWRpdm9yY2UtbGl2aW5nLXRvZ2V0aGVyLWJlZm9yZS1tYXJyaWFnZS83NTkwNtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.5,0.5,0.0,-0.7184
South Korean Grape Farms Under Threat From Trade Deals,2017-03-13 00:00:00,https://news.google.com/./articles/CBMiVGh0dHA6Ly9rb3JlYWJpendpcmUuY29tL3NvdXRoLWtvcmVhbi1ncmFwZS1mYXJtcy11bmRlci10aHJlYXQtZnJvbS10cmFkZS1kZWFscy83NzI2NtIBAA?hl=en-US&gl=US&ceid=US%3Aen,0.492,0.508,0.0,-0.7783
SK Group Leads Mobile Customer Loyalty App Market in South Korea,2017-03-22 00:00:00,https://news.google.com/./articles/CBMiXmh0dHA6Ly9rb3JlYWJpendpcmUuY29tL3NrLWdyb3VwLWxlYWRzLW1vYmlsZS1jdXN0b21lci1sb3lhbHR5LWFwcC1tYXJrZXQtaW4tc291dGgta29yZWEvNzgyODXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.6,0.4,0.7906
Hyundai Mobis to Develop Highway Self-driving Car Technology by ...,2017-04-03 00:00:00,https://news.google.com/./articles/CBMiYmh0dHA6Ly9rb3JlYWJpendpcmUuY29tL2h5dW5kYWktbW9iaXMtdG8tZGV2ZWxvcC1oaWdod2F5LXNlbGYtZHJpdmluZy1jYXItdGVjaG5vbG9neS1ieS0yMDIwLzc5NDE00gEA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
"S. Korean Students Lead in Math and Science, but with Little Interest",2017-04-13 00:00:00,https://news.google.com/./articles/CBMiYWh0dHA6Ly9rb3JlYWJpendpcmUuY29tL3Mta29yZWFuLXN0dWRlbnRzLWxlYWQtaW4tbWF0aC1hbmQtc2NpZW5jZS1idXQtd2l0aC1saXR0bGUtaW50ZXJlc3QvODA0NTnSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.545,0.455,0.7184
One-Third of Middle-Aged Men Show Signs of Alcohol Dependence,2017-04-19 00:00:00,https://news.google.com/./articles/CBMiW2h0dHA6Ly9rb3JlYWJpendpcmUuY29tL29uZS10aGlyZC1vZi1taWRkbGUtYWdlZC1tZW4tc2hvdy1zaWducy1vZi1hbGNvaG9sLWRlcGVuZGVuY2UvODExMjbSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
Lotte Hosts Lego Festival to Build Four-Ton Lego Flower,2017-04-24 00:00:00,https://news.google.com/./articles/CBMiVWh0dHA6Ly9rb3JlYWJpendpcmUuY29tL2xvdHRlLWhvc3RzLWxlZ28tZmVzdGl2YWwtdG8tYnVpbGQtZm91ci10b24tbGVnby1mbG93ZXIvODE0NjjSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,0.597,0.403,0.7506
Gyeonggi Province in Talks to Open Humane Poultry Farms to Curb ...,2017-05-11 00:00:00,https://news.google.com/./articles/CBMibWh0dHA6Ly9rb3JlYWJpendpcmUuY29tL2d5ZW9uZ2dpLXByb3ZpbmNlLWluLXRhbGtzLXRvLW9wZW4taHVtYW5lLXBvdWx0cnktZmFybXMtdG8tY3VyYi1hdmlhbi1pbmZsdWVuemEvODI4MjXSAQA?hl=en-US&gl=US&ceid=US%3Aen,0.0,1.0,0.0,0.0
